uid	ec	organism	organism_id
P09936	3.4.19.12	Homo sapiens (Human)	9606
Q62101	2.7.11.13	Mus musculus (Mouse)	10090
O54864	2.1.1.355	Mus musculus (Mouse)	10090
Q06180	3.1.3.48	Mus musculus (Mouse)	10090
Q00993	2.7.10.1	Mus musculus (Mouse)	10090
O62305	2.7.11.17	Caenorhabditis elegans	6239
P53667	2.7.11.1	Homo sapiens (Human)	9606
Q9UIF7	3.2.2.31	Homo sapiens (Human)	9606
P30285	2.7.11.22	Mus musculus (Mouse)	10090
P25500	2.7.7.19	Bos taurus (Bovine)	9913
P09866	3.4.21.91	Dengue virus type 4 (strain Dominica/814669/1981) (DENV-4)	408871
Q02928	1.14.14.1	Homo sapiens (Human)	9606
Q9WUD1	2.3.2.27	Mus musculus (Mouse)	10090
A2ASS6	2.7.11.1	Mus musculus (Mouse)	10090
Q94517	3.5.1.98	Drosophila melanogaster (Fruit fly)	7227
P14137	1.14.15.6	Rattus norvegicus (Rat)	10116
O14522	3.1.3.48	Homo sapiens (Human)	9606
P03301	3.4.22.29	Poliovirus type 1 (strain Sabin)	12082
Q9BVA6	2.7.7.n1	Homo sapiens (Human)	9606
A0A142I5B9	3.4.21.91	Zika virus (isolate ZIKV/Human/Cambodia/FSS13025/2010) (ZIKV)	2316109
P07858	3.4.22.1	Homo sapiens (Human)	9606
Q9UHP3	3.4.19.12	Homo sapiens (Human)	9606
P29352	3.1.3.48	Mus musculus (Mouse)	10090
Q13705	2.7.11.30	Homo sapiens (Human)	9606
O88509	2.1.1.37	Mus musculus (Mouse)	10090
Q00684	3.1.3.48	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	559292
O43781	2.7.12.1	Homo sapiens (Human)	9606
P15309	3.1.3.2	Homo sapiens (Human)	9606
P11440	2.7.11.22	Mus musculus (Mouse)	10090
P12823	3.4.21.91	Dengue virus type 2 (strain Puerto Rico/PR159-S1/1969) (DENV-2)	11066
Q8BSK8	2.7.11.1	Mus musculus (Mouse)	10090
Q61288	2.7.11.30	Mus musculus (Mouse)	10090
P09884	2.7.7.7	Homo sapiens (Human)	9606
P09467	3.1.3.11	Homo sapiens (Human)	9606
Q96Q15	2.7.11.1	Homo sapiens (Human)	9606
Q96PM5	2.3.2.27	Homo sapiens (Human)	9606
Q9UKK9	3.6.1.13	Homo sapiens (Human)	9606
Q66765	3.6.4.13	Encephalomyocarditis virus (strain Rueckert) (EMCV)	650129
Q02890	3.5.1.52	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	559292
Q01299	3.4.21.91	Tick-borne encephalitis virus (strain Hypr) (TBEV)	70733
P0ADA1	3.1.2.2	Escherichia coli (strain K12)	83333
P05708	2.7.1.1	Rattus norvegicus (Rat)	10116
P22694	2.7.11.11	Homo sapiens (Human)	9606
Q9H3H5	2.7.8.15	Homo sapiens (Human)	9606
Q99N57	2.7.11.1	Mus musculus (Mouse)	10090
P13716	4.2.1.24	Homo sapiens (Human)	9606
Q01062	3.1.4.17	Rattus norvegicus (Rat)	10116
O00767	1.14.19.1	Homo sapiens (Human)	9606
P11586	1.5.1.5	Homo sapiens (Human)	9606
P50528	2.7.11.21	Schizosaccharomyces pombe (strain 972 / ATCC 24843) (Fission yeast)	284812
P07572	3.6.1.23	Mason-Pfizer monkey virus (MPMV) (Simian Mason-Pfizer virus)	11855
Q9UIK4	2.7.11.1	Homo sapiens (Human)	9606
P0C6Y0	3.4.19.12	Murine coronavirus (strain JHM) (MHV-JHM) (Murine hepatitis virus)	11144
P24752	2.3.1.9	Homo sapiens (Human)	9606
Q96PN8	2.7.11.1	Homo sapiens (Human)	9606
P00749	3.4.21.73	Homo sapiens (Human)	9606
P63318	2.7.11.13	Mus musculus (Mouse)	10090
Q99640	2.7.11.1	Homo sapiens (Human)	9606
P06104	2.3.2.23	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	559292
D4AE59	2.7.11.1	Rattus norvegicus (Rat)	10116
Q9YRV3	3.4.21.91	Yellow fever virus (strain Trinidad/TRINID79A/1979) (YFV)	407137
Q16584	2.7.11.25	Homo sapiens (Human)	9606
Q7L8A9	3.4.17.17	Homo sapiens (Human)	9606
P05187	3.1.3.1	Homo sapiens (Human)	9606
A8R7E6	2.7.11.1	Arabidopsis thaliana (Mouse-ear cress)	3702
Q66479	3.4.22.29	Human enterovirus 71 (strain 7423/MS/87) (EV71) (EV-71)	103922
Q68CP4	2.3.1.78	Homo sapiens (Human)	9606
Q9UBM7	1.3.1.21	Homo sapiens (Human)	9606
Q64691	3.4.22.54	Mus musculus (Mouse)	10090
Q9P286	2.7.11.1	Homo sapiens (Human)	9606
P43254	2.3.2.27	Arabidopsis thaliana (Mouse-ear cress)	3702
Q5VT25	2.7.11.1	Homo sapiens (Human)	9606
P49761	2.7.12.1	Homo sapiens (Human)	9606
Q9I1X7	6.5.1.1	Pseudomonas aeruginosa (strain ATCC 15692 / DSM 22644 / CIP 104116 / JCM 14847 / LMG 12228 / 1C / PRS 101 / PAO1)	208964
Q9UGP5	2.7.7.7	Homo sapiens (Human)	9606
P20839	1.1.1.205	Homo sapiens (Human)	9606
Q9P0L2	2.7.11.1	Homo sapiens (Human)	9606
P29452	3.4.22.36	Mus musculus (Mouse)	10090
P53349	2.7.11.25	Mus musculus (Mouse)	10090
P00750	3.4.21.68	Homo sapiens (Human)	9606
Q98VG9	3.4.19.12	Feline coronavirus (strain FIPV WSU-79/1146) (FCoV)	33734
P55345	2.1.1.319	Homo sapiens (Human)	9606
Q66474	3.4.22.29	Echovirus 6 (strain Charles)	103913
P11310	1.3.8.7	Homo sapiens (Human)	9606
P0AES6	5.6.2.2	Escherichia coli (strain K12)	83333
Q9UBR2	3.4.18.1	Homo sapiens (Human)	9606
Q07002	2.7.11.22	Homo sapiens (Human)	9606
P52789	2.7.1.1	Homo sapiens (Human)	9606
Q6PIE5	7.2.2.13	Mus musculus (Mouse)	10090
O48963	2.7.11.1	Arabidopsis thaliana (Mouse-ear cress)	3702
Q9P289	2.7.11.1	Homo sapiens (Human)	9606
Q03555	2.7.7.75	Rattus norvegicus (Rat)	10116
P04054	3.1.1.4	Homo sapiens (Human)	9606
P00442	1.15.1.1	Bos taurus (Bovine)	9913
O35547	6.2.1.3	Rattus norvegicus (Rat)	10116
O88895	3.5.1.98	Mus musculus (Mouse)	10090
O00303	3.4.19.12	Homo sapiens (Human)	9606
Q2YHF0	3.4.21.91	Dengue virus type 4 (strain Thailand/0348/1991) (DENV-4)	408688
Q8C5L6	3.1.3.56	Mus musculus (Mouse)	10090
Q6PAJ1	2.7.11.1	Mus musculus (Mouse)	10090
P53779	2.7.11.24	Homo sapiens (Human)	9606
P32886	3.4.21.91	Japanese encephalitis virus (strain Jaoars982) (JEV)	11075
Q14694	3.4.19.12	Homo sapiens (Human)	9606
P15104	6.3.1.2	Homo sapiens (Human)	9606
P11511	1.14.14.14	Homo sapiens (Human)	9606
P22307	2.3.1.176	Homo sapiens (Human)	9606
O14818	3.4.25.1	Homo sapiens (Human)	9606
Q15067	1.3.3.6	Homo sapiens (Human)	9606
P9WI81	2.7.11.1	Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv)	83332
P04179	1.15.1.1	Homo sapiens (Human)	9606
P42338	2.7.1.153	Homo sapiens (Human)	9606
P07564	3.4.21.91	Dengue virus type 2 (strain Jamaica/1409/1983) (DENV-2)	11064
Q8CJG0	3.1.26.n2	Mus musculus (Mouse)	10090
Q24592	2.7.10.2	Drosophila melanogaster (Fruit fly)	7227
Q99MU3	3.5.4.37	Mus musculus (Mouse)	10090
P04762	1.11.1.6	Rattus norvegicus (Rat)	10116
Q61772	2.7.10.1	Mus musculus (Mouse)	10090
P06761	3.6.4.10	Rattus norvegicus (Rat)	10116
P07202	1.11.1.8	Homo sapiens (Human)	9606
P97924	2.7.11.1	Rattus norvegicus (Rat)	10116
Q9WDA6	3.4.21.91	Dengue virus type 2 (strain Peru/IQT2913/1996) (DENV-2)	408694
P11507	7.2.2.10	Rattus norvegicus (Rat)	10116
P04936	3.4.22.29	Human rhinovirus 2 (HRV-2)	12130
Q9JI11	2.7.11.1	Mus musculus (Mouse)	10090
P22985	1.17.1.4	Rattus norvegicus (Rat)	10116
P00186	1.14.14.1	Mus musculus (Mouse)	10090
P62837	2.3.2.23	Homo sapiens (Human)	9606
Q64237	1.14.17.1	Mus musculus (Mouse)	10090
Q13107	3.4.19.12	Homo sapiens (Human)	9606
Q8TDC3	2.7.11.1	Homo sapiens (Human)	9606
Q99P99	3.5.1.98	Rattus norvegicus (Rat)	10116
Q06278	1.2.3.1	Homo sapiens (Human)	9606
P47998	2.5.1.47	Arabidopsis thaliana (Mouse-ear cress)	3702
Q9HAU4	2.3.2.26	Homo sapiens (Human)	9606
Q96MV8	2.3.1.225	Homo sapiens (Human)	9606
P49789	3.6.1.29	Homo sapiens (Human)	9606
Q32ZD5	3.4.21.91	Kokobera virus (KOKV)	44024
P81299	3.1.3.48	Caenorhabditis elegans	6239
Q12923	3.1.3.48	Homo sapiens (Human)	9606
O70372	2.7.7.49	Mus musculus (Mouse)	10090
Q60670	2.7.11.1	Mus musculus (Mouse)	10090
P33434	3.4.24.24	Mus musculus (Mouse)	10090
O09000	2.3.1.48	Mus musculus (Mouse)	10090
Q14258	6.3.2.n3	Homo sapiens (Human)	9606
Q8WMP9	3.1.1.5	Bos taurus (Bovine)	9913
Q9Y243	2.7.11.1	Homo sapiens (Human)	9606
O15528	1.14.15.18	Homo sapiens (Human)	9606
P33478	3.4.21.91	Dengue virus type 1 (strain Singapore/S275/1990) (DENV-1)	33741
Q62073	2.7.11.25	Mus musculus (Mouse)	10090
Q9HCC0	6.4.1.4	Homo sapiens (Human)	9606
C0LGT6	2.7.11.1	Arabidopsis thaliana (Mouse-ear cress)	3702
Q99502	3.1.3.16	Homo sapiens (Human)	9606
Q9NQ66	3.1.4.11	Homo sapiens (Human)	9606
P45381	3.5.1.15	Homo sapiens (Human)	9606
Q8BKJ9	2.3.1.286	Mus musculus (Mouse)	10090
P14234	2.7.10.2	Mus musculus (Mouse)	10090
P81747	1.1.99.36	Rhodococcus erythropolis (Arthrobacter picolinophilus)	1833
Q92630	2.7.12.1	Homo sapiens (Human)	9606
O00754	3.2.1.24	Homo sapiens (Human)	9606
Q5VZY2	3.1.3.4	Homo sapiens (Human)	9606
P45376	1.1.1.300	Mus musculus (Mouse)	10090
Q10743	3.4.24.81	Rattus norvegicus (Rat)	10116
P34947	2.7.11.16	Homo sapiens (Human)	9606
Q58HT7	3.4.21.91	Dengue virus type 4 (strain Philippines/H241/1956) (DENV-4)	408686
Q5UB51	3.4.21.91	Dengue virus type 3 (strain Singapore/8120/1995) (DENV-3)	408693
O35280	2.7.11.1	Mus musculus (Mouse)	10090
P07154	3.4.22.15	Rattus norvegicus (Rat)	10116
Q9UMS4	2.3.2.27	Homo sapiens (Human)	9606
P20020	7.2.2.10	Homo sapiens (Human)	9606
Q9BYP7	2.7.11.1	Homo sapiens (Human)	9606
O89017	3.4.22.34	Mus musculus (Mouse)	10090
O43683	2.7.11.1	Homo sapiens (Human)	9606
Q7Z4N8	1.14.11.2	Homo sapiens (Human)	9606
P07686	3.2.1.52	Homo sapiens (Human)	9606
O54967	2.7.10.2	Mus musculus (Mouse)	10090
Q5VVQ6	3.4.19.12	Homo sapiens (Human)	9606
Q28141	3.6.4.13	Bos taurus (Bovine)	9913
O00311	2.7.11.1	Homo sapiens (Human)	9606
Q6IQ55	2.7.11.1	Homo sapiens (Human)	9606
O94761	3.6.4.12	Homo sapiens (Human)	9606
P09732	3.4.21.91	St. louis encephalitis virus (strain MS1-7)	11081
O08811	3.6.4.12	Mus musculus (Mouse)	10090
P52564	2.7.12.2	Homo sapiens (Human)	9606
P16050	1.13.11.33	Homo sapiens (Human)	9606
P62942	5.2.1.8	Homo sapiens (Human)	9606
Q05193	3.6.5.5	Homo sapiens (Human)	9606
Q96Q83	1.14.11.54	Homo sapiens (Human)	9606
P25789	3.4.25.1	Homo sapiens (Human)	9606
P57059	2.7.11.1	Homo sapiens (Human)	9606
P08922	2.7.10.1	Homo sapiens (Human)	9606
Q61730	3.2.2.6	Mus musculus (Mouse)	10090
Q10741	3.4.24.81	Bos taurus (Bovine)	9913
Q05932	6.3.2.17	Homo sapiens (Human)	9606
Q86Z02	2.7.11.1	Homo sapiens (Human)	9606
Q05754	1.14.17.1	Rattus norvegicus (Rat)	10116
P07882	3.1.1.13	Rattus norvegicus (Rat)	10116
P47713	3.1.1.4	Mus musculus (Mouse)	10090
Q8CE90	2.7.12.2	Mus musculus (Mouse)	10090
Q92851	3.4.22.63	Homo sapiens (Human)	9606
P70618	2.7.11.24	Rattus norvegicus (Rat)	10116
P16621	3.1.3.48	Drosophila melanogaster (Fruit fly)	7227
P30048	1.11.1.15	Homo sapiens (Human)	9606
Q9U9Y8	2.7.11.24	Caenorhabditis elegans	6239
P31414	7.1.3.1	Arabidopsis thaliana (Mouse-ear cress)	3702
Q9Z1K9	3.4.24.86	Rattus norvegicus (Rat)	10116
P05089	3.5.3.1	Homo sapiens (Human)	9606
Q59385	7.2.2.8	Escherichia coli (strain K12)	83333
P03304	3.6.4.13	Encephalomyocarditis virus	12104
Q03142	2.7.10.1	Mus musculus (Mouse)	10090
P43404	2.7.10.2	Mus musculus (Mouse)	10090
Q9P7H1	3.1.3.48	Schizosaccharomyces pombe (strain 972 / ATCC 24843) (Fission yeast)	284812
P70365	2.3.1.48	Mus musculus (Mouse)	10090
Q96RR1	3.6.4.12	Homo sapiens (Human)	9606
P08236	3.2.1.31	Homo sapiens (Human)	9606
Q9NZ71	3.6.4.12	Homo sapiens (Human)	9606
P05129	2.7.11.13	Homo sapiens (Human)	9606
P49327	2.3.1.85	Homo sapiens (Human)	9606
P12370	2.7.11.11	Drosophila melanogaster (Fruit fly)	7227
P00528	2.7.10.2	Drosophila melanogaster (Fruit fly)	7227
Q08649	2.3.1.48	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	559292
Q9Z1Z1	2.7.11.1	Rattus norvegicus (Rat)	10116
Q9FL28	2.7.11.1	Arabidopsis thaliana (Mouse-ear cress)	3702
P21709	2.7.10.1	Homo sapiens (Human)	9606
P17655	3.4.22.53	Homo sapiens (Human)	9606
Q155Z9	3.6.4.13	Seneca Valley virus (isolate -/United States/SSV-001/2002) (SVV)	686944
Q9C5U1	2.7.13.3	Arabidopsis thaliana (Mouse-ear cress)	3702
O00238	2.7.11.30	Homo sapiens (Human)	9606
Q63120	7.6.2.2	Rattus norvegicus (Rat)	10116
Q8IV08	3.1.16.1	Homo sapiens (Human)	9606
P42681	2.7.10.2	Homo sapiens (Human)	9606
Q9JHD1	2.3.1.48	Mus musculus (Mouse)	10090
O94766	2.4.1.135	Homo sapiens (Human)	9606
Q9Z138	2.7.10.1	Mus musculus (Mouse)	10090
Q38882	3.1.4.4	Arabidopsis thaliana (Mouse-ear cress)	3702
P14550	1.1.1.2	Homo sapiens (Human)	9606
Q86W50	2.1.1.348	Homo sapiens (Human)	9606
P17710	2.7.1.1	Mus musculus (Mouse)	10090
Q03100	4.6.1.1	Dictyostelium discoideum (Slime mold)	44689
Q16719	3.7.1.3	Homo sapiens (Human)	9606
P29295	2.7.11.1	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	559292
P19157	2.5.1.18	Mus musculus (Mouse)	10090
P04424	4.3.2.1	Homo sapiens (Human)	9606
Q9EPW9	3.2.2.6	Mus musculus (Mouse)	10090
Q675A5	3.1.1.5	Rattus norvegicus (Rat)	10116
P08413	2.7.11.17	Rattus norvegicus (Rat)	10116
P58281	3.6.5.5	Mus musculus (Mouse)	10090
P22338	3.4.21.91	Louping ill virus (Li)	11086
Q05B79	3.6.4.12	Bos taurus (Bovine)	9913
O94925	3.5.1.2	Homo sapiens (Human)	9606
O70161	2.7.1.68	Mus musculus (Mouse)	10090
Q12866	2.7.10.1	Homo sapiens (Human)	9606
Q13569	3.2.2.29	Homo sapiens (Human)	9606
E9Q5F9	2.1.1.359	Mus musculus (Mouse)	10090
Q9GT24	2.7.11.1	Caenorhabditis elegans	6239
P61585	3.6.5.2	Bos taurus (Bovine)	9913
Q9XGM3	3.2.2.6	Arabidopsis thaliana (Mouse-ear cress)	3702
Q9H4P4	2.3.2.27	Homo sapiens (Human)	9606
Q9LFS4	2.7.11.1	Arabidopsis thaliana (Mouse-ear cress)	3702
Q82081	3.4.22.29	Human rhinovirus 3 (HRV-3)	44130
P00523	2.7.10.2	Gallus gallus (Chicken)	9031
O14983	7.2.2.10	Homo sapiens (Human)	9606
O60318	2.3.1.48	Homo sapiens (Human)	9606
Q14739	1.3.1.70	Homo sapiens (Human)	9606
Q9NR22	2.1.1.319	Homo sapiens (Human)	9606
Q13332	3.1.3.48	Homo sapiens (Human)	9606
P12268	1.1.1.205	Homo sapiens (Human)	9606
Q15262	3.1.3.48	Homo sapiens (Human)	9606
Q8NHM5	1.14.11.27	Homo sapiens (Human)	9606
P00388	1.6.2.4	Rattus norvegicus (Rat)	10116
Q02083	3.5.1.60	Homo sapiens (Human)	9606
O15164	2.3.2.27	Homo sapiens (Human)	9606
P35813	3.1.3.16	Homo sapiens (Human)	9606
P04191	7.2.2.10	Oryctolagus cuniculus (Rabbit)	9986
P98194	7.2.2.10	Homo sapiens (Human)	9606
P21673	2.3.1.57	Homo sapiens (Human)	9606
P08879	2.7.4.6	Drosophila melanogaster (Fruit fly)	7227
O15305	5.4.2.8	Homo sapiens (Human)	9606
P04799	1.14.14.1	Rattus norvegicus (Rat)	10116
P51136	2.7.11.26	Dictyostelium discoideum (Slime mold)	44689
O75874	1.1.1.42	Homo sapiens (Human)	9606
Q9D411	2.7.11.1	Mus musculus (Mouse)	10090
Q13085	6.4.1.2	Homo sapiens (Human)	9606
P24158	3.4.21.76	Homo sapiens (Human)	9606
P15042	6.5.1.2	Escherichia coli (strain K12)	83333
P49591	6.1.1.11	Homo sapiens (Human)	9606
Q93099	1.13.11.5	Homo sapiens (Human)	9606
P07720	3.4.21.91	Tick-borne encephalitis virus Far Eastern subtype (strain Sofjin) (SOFV) (Sofjin virus)	11087
P23008	3.4.22.29	Human rhinovirus 1A (HRV-1A)	12134
P20350	3.4.21.105	Drosophila melanogaster (Fruit fly)	7227
P30101	5.3.4.1	Homo sapiens (Human)	9606
Q6ZNA4	2.3.2.27	Homo sapiens (Human)	9606
Q02790	5.2.1.8	Homo sapiens (Human)	9606
O75844	3.4.24.84	Homo sapiens (Human)	9606
Q9QF31	3.4.22.29	Coxsackievirus A16 (strain Tainan/5079/98)	231417
P15428	1.1.1.141	Homo sapiens (Human)	9606
Q9UM07	3.5.3.15	Homo sapiens (Human)	9606
P08842	3.1.6.2	Homo sapiens (Human)	9606
P06786	5.6.2.2	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	559292
P13807	2.4.1.11	Homo sapiens (Human)	9606
Q9H3S7	3.1.3.48	Homo sapiens (Human)	9606
Q3TFD2	2.3.1.23	Mus musculus (Mouse)	10090
P19099	1.14.15.5	Homo sapiens (Human)	9606
Q96PY6	2.7.11.1	Homo sapiens (Human)	9606
P13497	3.4.24.19	Homo sapiens (Human)	9606
Q62915	2.7.11.1	Rattus norvegicus (Rat)	10116
Q8N4C8	2.7.11.1	Homo sapiens (Human)	9606
P03302	3.4.22.29	Poliovirus type 3 (strains P3/Leon/37 and P3/Leon 12A[1]B)	12088
P09034	6.3.4.5	Rattus norvegicus (Rat)	10116
Q8IYB8	3.6.4.13	Homo sapiens (Human)	9606
C0LGQ5	2.7.11.1	Arabidopsis thaliana (Mouse-ear cress)	3702
Q9NST1	2.3.1.51	Homo sapiens (Human)	9606
P40818	3.4.19.12	Homo sapiens (Human)	9606
P21642	4.1.1.32	Gallus gallus (Chicken)	9031
Q9GZU7	3.1.3.16	Homo sapiens (Human)	9606
Q8TEY7	3.4.19.12	Homo sapiens (Human)	9606
P83741	2.7.11.1	Mus musculus (Mouse)	10090
Q7KRY6	2.7.11.1	Drosophila melanogaster (Fruit fly)	7227
Q8CH72	2.3.2.27	Mus musculus (Mouse)	10090
G5EE56	2.7.10.2	Caenorhabditis elegans	6239
Q66575	3.4.22.29	Echovirus 12 (strain Travis)	103909
Q1X881	3.4.21.91	Yellow fever virus (isolate Angola/14FA/1971) (YFV)	407140
P22682	2.3.2.27	Mus musculus (Mouse)	10090
O54784	2.7.11.1	Mus musculus (Mouse)	10090
P00748	3.4.21.38	Homo sapiens (Human)	9606
O75643	3.6.4.13	Homo sapiens (Human)	9606
Q9JIF0	2.1.1.319	Mus musculus (Mouse)	10090
P46734	2.7.12.2	Homo sapiens (Human)	9606
O00154	3.1.2.2	Homo sapiens (Human)	9606
P49366	2.5.1.46	Homo sapiens (Human)	9606
P09606	6.3.1.2	Rattus norvegicus (Rat)	10116
Q03963	2.7.11.1	Mus musculus (Mouse)	10090
P23458	2.7.10.2	Homo sapiens (Human)	9606
P27448	2.7.11.1	Homo sapiens (Human)	9606
Q969S8	3.5.1.48	Homo sapiens (Human)	9606
Q8I4N4	4.6.1.2	Caenorhabditis elegans	6239
P32198	2.3.1.21	Rattus norvegicus (Rat)	10116
Q9UPZ9	2.7.11.1	Homo sapiens (Human)	9606
P51451	2.7.10.2	Homo sapiens (Human)	9606
P55144	2.7.10.1	Mus musculus (Mouse)	10090
P15559	1.6.5.2	Homo sapiens (Human)	9606
Q92835	3.1.3.86	Homo sapiens (Human)	9606
Q62910	3.1.3.36	Rattus norvegicus (Rat)	10116
P20594	4.6.1.2	Homo sapiens (Human)	9606
P63146	2.3.2.23	Homo sapiens (Human)	9606
Q9JHX4	3.4.22.61	Rattus norvegicus (Rat)	10116
Q8R2Y0	3.1.1.23	Mus musculus (Mouse)	10090
Q9WTU6	2.7.11.24	Mus musculus (Mouse)	10090
P05181	1.14.14.1	Homo sapiens (Human)	9606
O13437	1.17.1.9	Candida boidinii (Yeast)	5477
P19321	3.4.24.69	Clostridium botulinum D phage (Clostridium botulinum D bacteriophage)	29342
P16435	1.6.2.4	Homo sapiens (Human)	9606
O00167	3.1.3.48	Homo sapiens (Human)	9606
P52304	2.7.11.21	Drosophila melanogaster (Fruit fly)	7227
P00787	3.4.22.1	Rattus norvegicus (Rat)	10116
Q63009	2.1.1.319	Rattus norvegicus (Rat)	10116
Q86TM6	2.3.2.27	Homo sapiens (Human)	9606
Q9UMN6	2.1.1.354	Homo sapiens (Human)	9606
P24008	1.3.1.22	Rattus norvegicus (Rat)	10116
Q09892	2.7.11.24	Schizosaccharomyces pombe (strain 972 / ATCC 24843) (Fission yeast)	284812
O88904	2.7.11.1	Mus musculus (Mouse)	10090
Q01621	2.7.10.2	Rattus norvegicus (Rat)	10116
Q9NWZ3	2.7.11.1	Homo sapiens (Human)	9606
Q6VNS1	2.7.10.1	Mus musculus (Mouse)	10090
O35678	3.1.1.23	Mus musculus (Mouse)	10090
P49662	3.4.22.57	Homo sapiens (Human)	9606
P35991	2.7.10.2	Mus musculus (Mouse)	10090
P28072	3.4.25.1	Homo sapiens (Human)	9606
Q96RG2	2.7.11.1	Homo sapiens (Human)	9606
P08237	2.7.1.11	Homo sapiens (Human)	9606
P27038	2.7.11.30	Mus musculus (Mouse)	10090
Q15392	1.3.1.72	Homo sapiens (Human)	9606
P23284	5.2.1.8	Homo sapiens (Human)	9606
Q5WPU5	3.4.21.91	Usutu virus (USUV)	64286
Q66282	3.4.22.29	Coxsackievirus B3 (strain Woodruff)	103904
Q05201	3.1.3.48	Drosophila melanogaster (Fruit fly)	7227
Q9H6Z9	1.14.11.29	Homo sapiens (Human)	9606
Q13163	2.7.12.2	Homo sapiens (Human)	9606
Q5RJI5	2.7.11.1	Mus musculus (Mouse)	10090
P27815	3.1.4.53	Homo sapiens (Human)	9606
P30566	4.3.2.2	Homo sapiens (Human)	9606
P11598	5.3.4.1	Rattus norvegicus (Rat)	10116
Q62371	2.7.10.1	Mus musculus (Mouse)	10090
Q99558	2.7.11.25	Homo sapiens (Human)	9606
P30041	1.11.1.15	Homo sapiens (Human)	9606
Q92995	3.4.19.12	Homo sapiens (Human)	9606
Q7T6D2	3.4.21.91	Omsk hemorrhagic fever virus (OHFV)	12542
Q86X55	2.1.1.319	Homo sapiens (Human)	9606
Q65900	3.4.22.29	Coxsackievirus A16 (strain G-10)	69159
P54886	2.7.2.11	Homo sapiens (Human)	9606
P24270	1.11.1.6	Mus musculus (Mouse)	10090
O00763	6.4.1.2	Homo sapiens (Human)	9606
P10844	3.4.24.69	Clostridium botulinum	1491
P0DTD1	3.4.19.12	Severe acute respiratory syndrome coronavirus 2 (2019-nCoV) (SARS-CoV-2)	2697049
P51857	1.3.1.3	Homo sapiens (Human)	9606
P05062	4.1.2.13	Homo sapiens (Human)	9606
G5ED39	3.4.22.49	Caenorhabditis elegans	6239
Q99436	3.4.25.1	Homo sapiens (Human)	9606
P34896	2.1.2.1	Homo sapiens (Human)	9606
Q82122	3.4.22.29	Human rhinovirus 16 (HRV-16)	31708
Q9Z1W9	2.7.11.1	Mus musculus (Mouse)	10090
Q6JHU9	2.3.1.48	Rattus norvegicus (Rat)	10116
Q00772	2.7.11.24	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	559292
P23128	3.6.4.13	Drosophila melanogaster (Fruit fly)	7227
O14929	2.3.1.48	Homo sapiens (Human)	9606
P28652	2.7.11.17	Mus musculus (Mouse)	10090
Q32ZD4	3.4.21.91	Rocio virus (ROCV)	64315
P30304	3.1.3.48	Homo sapiens (Human)	9606
P38631	2.4.1.34	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	559292
P42337	2.7.1.153	Mus musculus (Mouse)	10090
Q9UBF8	2.7.1.67	Homo sapiens (Human)	9606
Q17446	2.7.11.24	Caenorhabditis elegans	6239
Q8VIJ5	3.2.1.169	Rattus norvegicus (Rat)	10116
Q9BZ23	2.7.1.33	Homo sapiens (Human)	9606
O35049	3.1.4.12	Rattus norvegicus (Rat)	10116
O60488	6.2.1.3	Homo sapiens (Human)	9606
P13196	2.3.1.37	Homo sapiens (Human)	9606
Q6ZMZ0	2.3.2.31	Homo sapiens (Human)	9606
P00797	3.4.23.15	Homo sapiens (Human)	9606
O00746	2.7.4.6	Homo sapiens (Human)	9606
P22830	4.99.1.1	Homo sapiens (Human)	9606
Q64487	3.1.3.48	Mus musculus (Mouse)	10090
P14060	1.1.1.145	Homo sapiens (Human)	9606
P14555	3.1.1.4	Homo sapiens (Human)	9606
P0C6Y5	3.4.19.12	Porcine transmissible gastroenteritis coronavirus (strain Purdue) (TGEV)	11151
Q923J1	2.7.11.1	Mus musculus (Mouse)	10090
P60472	2.5.1.31	Escherichia coli (strain K12)	83333
O75962	2.7.11.1	Homo sapiens (Human)	9606
Q9HCK8	3.6.4.12	Homo sapiens (Human)	9606
Q9UUA2	3.6.4.12	Schizosaccharomyces pombe (strain 972 / ATCC 24843) (Fission yeast)	284812
P52792	2.7.1.1	Mus musculus (Mouse)	10090
Q9UQB9	2.7.11.1	Homo sapiens (Human)	9606
P50554	2.6.1.19	Rattus norvegicus (Rat)	10116
P17858	2.7.1.11	Homo sapiens (Human)	9606
P20794	2.7.11.1	Homo sapiens (Human)	9606
P49720	3.4.25.1	Homo sapiens (Human)	9606
Q9YLG5	3.4.22.29	Coxsackievirus B2 (strain Ohio-1)	231473
P43353	1.2.1.28	Homo sapiens (Human)	9606
P25439	3.6.4.12	Drosophila melanogaster (Fruit fly)	7227
Q923S6	2.3.2.27	Mus musculus (Mouse)	10090
Q9UBK8	1.16.1.8	Homo sapiens (Human)	9606
P80108	3.1.4.50	Homo sapiens (Human)	9606
